prompt,chosen,rejected
Mummy and Timmy were in,"Mummy and Timmy were in their living room when Tom said, ""What a wonderful present to my little girl this year. Maybe she will like her shoes too.""

Mummy and Timmy laughed and looked at pictures Timmy had printed out of the book. Timmy","Mummy and Timmy were in the kitchen. They were making dinner for Daddy.

Mummy said, ""Timmy, can I help you put the dinner on the table?""

Timmy said, ""Yes, please!""

Mummy said, ""Then"
Once there was a little,"Once there was a little girl. Her name was Polly. She loved toys that were blue. She was always sad when she found them broken or dull.

One day she heard something in the sky that meant she needed to find a new toy that was blue. She","Once there was a little boy named Timmy. Timmy loved to play with his toys and run around outside. One day, Timmy's mommy said they were going to go to the park. Timmy was excited to go, but he didn't know where to"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to go on special adventures every day with her family. One day, her older brother was so busy playing he couldn't stop thinking about his adventure.

Lily asked her brother, â€","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat yummy food. One day, she went to the park with her mommy and daddy. They saw a big slide and wanted to go on it.

L"
"Once upon a time, there","Once upon a time, there was a young girl named Sarah. She had a lot to give but didn't want anyone to get hurt. One day, she went outside to see what people were doing, and everyone looked very polite.

After looking around, Sarah noticed something","Once upon a time, there was a little girl named Lily. She loved to play with her toys and have fun. One day, she found a shiny coin in her toy box. She thought it was very pretty and wanted to keep it.

Lily's mommy"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside with her friends. One day, they were playing in the park when they saw a big, scary monster. Lily's mommy told her to stay away from the monster, but Lily didn","Once upon a time, there lived a boy named Jack. He had a big dream to have a big rocket big enough to go anywhere. 

One day, Jack went out to visit the moon. It was blue and had lots and lots of big lights twinkling"
It was time for the,"It was time for the princess to go on an adventure. She was so excited to get to explore the world in her new dress. She got her favourite dress, a modest pink one. She picked it up and then looked around the castle. She saw the other horses,","It was time for the big day. The sun was shining and the sky was clear. Mommy and Daddy drove the car to the park. The car was so big and the sun was shining.

Mommy and Daddy said goodbye to the park and drove back home"
Once there was a poor,"Once there was a poor little boy called Joe. He was very hungry. He had heard a good story and liked to listen to stories. There was a nice woman who lived nearby. Joey had been listening to the story and thought it was very interesting. 

Joe","Once there was a poor little girl who wanted to go to the zoo. She had never been to one before, so she was very excited.

When she arrived, she saw a big, scary lion. She asked the lion, ""Do you want to go?"""
Once there was a family,"Once there was a family who lived in a big house. One day a little girl was walking in the garden, when she saw a big, round ball. She asked her mom, ""What is that?"" Her mom replied, ""That is a ball, sweetie.","Once there was a family who wanted to marry a girl. They couldn't find anyone who was not ugly. 

One day, Mom and Dad brought a cake. 
It was orange and looked yummy. 

Their parents were so impressed that they"
"Once upon a time, the","Once upon a time, the children lived in a cozy house with their moms and dads. The mom and dad had painted the walls, the windows and the kitchen.

On one of the many bright evenings, Mom and dad took a walk in the park. After they finished","Once upon a time, the little girl named Lily was playing in the park. She saw a big, scary dog and wanted to play with him. But the dog was too fast and ran away.

Lily wanted to find the dog, but she couldn't find him"
Once upon a time there,"Once upon a time there was a little girl called Lily. She loved to play in the park with her friends. One day, they decided to go for a walk in the park. As they were walking, they saw a big tree. The tree was very tall and had","Once upon a time there was a brave little bear. Little did the bear want to go off. He was looking to try on some new things but he was scared to go outside. 

One day he decided on a different adventure - the journey to find home."
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red sunflower and wanted to touch it. But she didn't know how to pick it up.

Lily's mom","Once upon a time, there was a little yellow bird named Tweety. Tweety loved to eat bugs and have fun. One day, Tweety saw a bug and it was big and yellow. Tweety wanted to eat that bug too.

Tweety flew up to"
Once upon a time there,"Once upon a time there was a very special girl who wanted to make a big splash. She thought, ""Oh! Let's go find some water to fill up the pond and put in a big jug.""

The girl sat in the pond, tapping her feet.","Once upon a time there was a little girl named Lily. She loved to play with her toys and her friends. One day, she was playing with her toys when she saw a big piece of paper. She picked it up and smiled.

Lily's mom asked"
The little girl was standing,"The little girl was standing in a room which she had never seen before. All her eyes met the ceiling. But the ceiling was even higher than her! Suddenly, she jumped onto it and fell down into the hole. To their surprise, there was another little bunny hop in","The little girl was standing in the park, looking at the trees. She saw a tree with a big branch. She wanted to climb it. She ran towards the branch and started to climb.

Suddenly, she heard a voice. ""Stop!"" it said.
"
Once upon a time there,"Once upon a time there lived a little girl called Sally. Sally was always a bit grumpy at the end of the day, because sometimes it felt like her Mum and Dad wouldn't give her their blessing. One day it began to seem like they were just never going to","Once upon a time there was a little girl named Lily. She loved to play outside and explore the world around her. One day, she saw a big tree and wanted to climb it. 

Lily took a deep breath and started to climb the tree. She"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and watch TV with her mom. One day, Lily's mom told her that they were going to the park to play. Lily was so excited to go, but she was scared","Once upon a time, there was a little girl named Lilly. Lilly loved to jump around and play outside in the garden. One day, she saw something shiny in the grass. She was so excited that she ran to get it. 

""Look, dad! I"
Once upon a time there,"Once upon a time there was a beautiful butterfly called Sarah. Every day she flew high to get some fresh pollen from the flowers. 

Then one day it started to rain and Sarah quickly hopped away in an attempt to catch up. Suddenly she saw that no one else","Once upon a time there was a little girl called Lucy. She was three years old and loved to explore. One day, she was walking in the park when she saw a big, red truck. She was so excited and asked her mum, ""Can I drive in the"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to explore and find new things. One day, she went to the park with her mom and saw a big tree with lots of leaves. She wanted to climb the tree, but the leaves were too high","Once upon a time there was a very wealthy fish named Sam. He was in the lake every day and enjoyed spending time exploring the world around him. One sunny day, Sam found a big puddle in the lake. He thought it looked nice, so he jumped in!"
Once there was a strong,"Once there was a strong dragon who could breathe fire. He wore his shiny red armor all the time and looked very cool! 

One day the dragon was flying in a great distance when he noticed a little girl in his garden. The little girl was hiding in the","Once there was a strong, honest man who was very happy. He was a very kind man who loved to help others. One day, he was walking in the park when he noticed a little girl crying. He asked her what was wrong and she said she had lost her"
Mummy was with her little,"Mummy was with her little boy Tom when they went to the shops. As they got ready to go home, Tom asked Mummy, ""But Daddy, why is Mama so nice to us? He can eat too much!""
Curious, Mummy put Tom inside a","Mummy was with her little girl, Mia. Mia was very excited. She wanted to see what mummy had for dinner. 

Mummy asked Mia, ""What do you want to eat?"" Mia said, ""I want to eat a big sausage!"" 

"
A mummy and her little,"A mummy and her little girl. They wanted to take a break. So the mummy said to her little girl, ""Why don't you take a nap and rest for a while?""

The little girl smiled and hugged the mummy's hand. Then the mummy said,","A mummy and her little girl were playing in the park. The mummy was holding a big red ball. The little girl was so excited!

""Let's run!"" said the mummy.

So they ran around the park. The mummy was running very fast and"
Once there was a mother,"Once there was a mother, and it was going to be a big night. But then Daddy shouted to him, ""Come on up now!""

The mother was getting really big and he wanted to join her. The baby nodded.

Before she could join in","Once there was a mother and a daughter. They loved each other very much. One day, the mother said to her daughter, â€œI want you to help me pick a flower.â€

The daughter was very excited. She picked a big"
Once upon a time there,"Once upon a time there was a dog named Sam. Sam was very old and had all of the furniture all covered up. He was very sad because his family missed him so much. However, Sam's owners knew that he was still very happy and couldn't help but miss","Once upon a time there was a little girl. She was very hungry and wanted to eat something tasty. One day, she decided to go to the kitchen. She went to the kitchen and saw a big bowl of soup. She was so excited to try it.

"
Once upon a time there,"Once upon a time there was a girl named Lucy. She was three years old and very curious. One day, Lucy saw a big, white box in the park. She was so excited that she ran over to it.

The box was full of toys and paper","Once upon a time there were two kids who loved to read funny stories. The one on the left was very funny and she started to clap her hands when she saw something in the clouds.

The other one, on the right, was kind and gave her a"
It was a sunny morning,It was a sunny morning in the woods. Tom was walking his puppy through the grass. The puppy licked the ground and purrs happily as he explored. Soon Tom saw his mom's dog walking around too. Tom put his paw on the dog's head to show how,"It was a sunny morning. Mommy and Daddy were going to the park. Mommy said it was time to go inside and Daddy said it was time to go. Mommy and Daddy went inside.

When they got to the park, Mommy said it was"
Once there was a bear,"Once there was a bear who wanted to do what everyone was asking for. He was very brave and did what was asked of him.

The bear wanted to find all the animals he could find. He followed trails for hours and miles. Eventually he found a beautiful landscape","Once there was a bear who loved to play outside. He was always looking for new places to play. One day, he saw a big open field and decided to go explore.

As he walked, he saw a little girl playing with her toy car. The bear"
"Once upon a time, there","Once upon a time, there was a little squirrel named Bobo. Bobo liked to collect big, green plants. One day, he went to play in his garden and found a big tree with lots of pretty, furry flowers. Bobo wanted to pick these flowers, but","Once upon a time, there was a little boy named Timmy. Timmy loved to play with his toys and eat candy. One day, Timmy's mom told him to clean his room. Timmy didn't want to clean, so he asked his mom, ""Why"
Once upon a time there,Once upon a time there was an octopus. He liked to explore all the oceans. One day he saw a little pearl floating across the ocean - it glittered in the sunlight and was warm. He was fascinated and wanted to touch it. He swam towards it and,"Once upon a time there was a little girl named Lily. She loved to play in the park. One day, she saw a big truck driving by. It was making a loud noise. 

Lily got scared and ran away. She ran to her mommy"
It was a warm summer,It was a warm summer afternoon. All the kids gathered in the park to learn new things. Lily and her brothers went upstairs to teach the older kids. They talked about why the sky was so blue and why the sun was so high. They played in the sandbox and had,"It was a warm summer day. All the animals were out and running around. They had a great time playing and having fun.

Suddenly, a big dog came out of a bush. He was very fierce and didn't like to be left alone. The animals were"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in the garden with her friends. One day, they found a big box under a tree. Lily was very happy to have found it and wanted to open it.

Lily's friend","Once upon a time, there was a little girl named Lily. She had a yummy muffin with sprinkles on it. One day, Lily went to the park with Mom and saw a new bird flying fast. The bird had bright feathers and colorful colors. 

"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she found a big, juicy apple on the ground. It was so juicy! 

Lily picked up the apple and put it in her mouth","Once upon a time, there was a little brown cat named Clap. Clap loved to play with his friends on the sidewalk. One day, Clap saw a big yellow bird go to the window. The bird was sad because he didn't like winter.

Cl"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in the garden with her friends. One day, they decided to play hide and seek. Lily wanted to find her friend, but her friends were busy playing.

Lily asked her friend","Once upon a time, there was a farmer named John. He was a very kind and fair farmer. One day, John was feeling sad because he had to plant a seed. His farmer friend came over and said, â€œLook, you can plant the seed"
Once there was a lady,"Once there was a lady who was very anxious. She walked to the garden and noticed a lovely yellow flower. It blew in the wind. She touched it to her temple with one hand and thought to herself, ""That looks so magical!"", Then she pulled it gently and felt","Once there was a lady who was very modest. She liked to help others. One day, she was walking in the park when she saw a little boy. The boy was crying and was very sad.

The lady noticed that the boy looked very troubled. She felt"
John was walking outside on,John was walking outside on a sunny day for his first jog. He was hopping around the park and had fun hopping off his feet. One of John's friends was wearing a yellow jacket and he noticed John wearing the jacket and running so fast that the jacket looked like a big,"John was walking outside on a sunny day. He was feeling a bit tired, so he decided to take a nap. He lay down in the grass and closed his eyes.

John saw a big tree in the distance and decided to take a nap there too. He"
Once upon a time there,"Once upon a time there was a little birdie who was very sad. He had just had to get to school and he felt sad too. The sun was starting to shine, it looked like he was going to get through his lesson and then it would be so much fun","Once upon a time there was a little girl called Mary. She was three years old and loved to explore. One day, Mary was walking in the park when she saw something shiny in the grass. She stopped to look and saw a small, round object. Mary was so"
Once upon a time there,"Once upon a time there was a little girl who was walking outside. As she was walking there, something exciting happened - a big, beautiful, round tree sprang out from beneath the ground!

Mom was so envious of this sight, she jumped up and down and","Once upon a time there was a little girl named Lily. She loved to play with her toys and run around. One day, Lily saw a big, shiny box in the corner of her room. She wanted to open it, but it was locked!

Lily"
"Once upon a time, there","Once upon a time, there was a kind and thoughtful dog named Spot. Spot loved to play and chase mice. One day, they all went for a walk in the park. Spot ran far away because he couldn't find them. As he ran, he came upon a friendly","Once upon a time, there was a little girl who wanted to go to the park. She asked her mom for permission to go, but her mom said no. The little girl was sad, but she knew she had to go anyway. 

The little girl started to"
Once upon a time there,"Once upon a time there lived a little girl called Mary. Mary wanted to give some treats her mom said she would receive. First she wanted to go to the grocery with her mum, and when she got there she couldn't find any breadsticks. Mary asked her mum how","Once upon a time there was a little girl. She was only three years old. She loved to play with her toys and explore the world around her.

One day, she saw a big, white box in the garden. She was so excited! She ran over"
Once upon a time there,"Once upon a time there was an ordinary little girl who lived in a small village. She was very scared of the sky, she knew every time she looked down it would be a scary sight. One day, when she was walking her walking, she heard something that made her","Once upon a time there was a little girl named Lily. She loved to play outside and explore. One day, she decided to go for a walk in the park. She saw a big tree and decided to step on it. As she stepped down, she felt something tick"
Sam was a curious little,"Sam was a curious little boy who loved to explore his town. Today, Sam saw a sign that said ""Trip to the beach"". He ran over to the sign and saw a blue boat. He wanted to take the boat to the beach.

Sam carefully grabbed","Sam was a curious little boy who loved to explore. One day, he found a big box in the garage. It was so big and shiny, that Sam wanted to play with it.

He opened the box and found a big box of toys. He wanted to"
Bob needed to go the,"Bob needed to go the park to get a snack. His dad showed him the path, but the tree had a little hole in the ground. Dad said they would have to wait until they got there first.

So they went on the path, holding hands and starting","Bob needed to go the store. He was very excited and wanted to buy something special. He looked around and saw a big box. He was so excited. 

He opened the box and saw a big, shiny coin. He picked it up and put it in"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine and explore. One day, Lily's mommy gave her a bag of candy. Lily was so happy and ate it all up. But then, she remembered her favorite toy","Once upon a time, there was a little bunny named Buzz. Buzz lived in a big treehouse with his friends and they all played together. One day, Buzz saw that his friends were really playing all together on the monkey bars. Buzz felt jealous that he didn't want to"
Paul was feeling very happy.,"Paul was feeling very happy. He was at his desk when he heard a voice from upstairs. ""Oh Mary, Tom, you're so boring. I'm calling for your mommy today.""

Mary looked out the kitchen window and saw Peter walking around with a small bag","Paul was feeling very happy. He had just finished a brilliant job - he had been able to design a new kind of car. He was so excited and he wanted to show it off to everyone.

He went to the shop and asked the shopkeeper if he could have"
Mia was walking in the,"Mia was walking in the park with her little brother, Max. They were having lots of fun when Max saw something special that made him very happy. He wanted to know more, so Mia decided to ask him.

Minutes later, Max had an idea! He","Mia was walking in the park when she saw a big dog. It was a black dog with a long tail. She stopped and looked at it.

""Hello, dog!"" Mia said. ""Do you want to play with me?""

The black dog w"
John was in the park,"John was in the park, looking out. He saw many things, some of them fun and some not so fun. Soon he arrived at a place with lots of colorful lights inside. 

John stopped and said: 

""Excuse me, could this","John was in the park with his mom and dad. He saw a big tree with many leaves. John wanted to pick some of the leaves, but his mom said no. John felt sad and scared.

""Mom, dad, can I have some of the leaves"
"Once upon a time, there","Once upon a time, there was a little girl named Grace. Grace was walking in a big park, when she paused. She saw a bench and decided to stand up. Suddenly, she bumped into a young boy who was sitting on the bench. The boy was sad and asked","Once upon a time, there was a boy named Timmy. Timmy loved to play with his toys, but one day, he accidentally ripped his favorite teddy bear. He was so sad and didn't know what to do. 

His mommy came to help"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside and watch the birds fly. One day, she saw a bird that looked very sad. She wanted to help the bird, so she asked her mommy if she could help.

","Once upon a time, there was a man and a woman who loved to play around their garden. One sunny day, the man said to the woman, ""We are going to play something very delicate."" 

The woman smiled and said, ""That sounds perfect. We"
"Once an day, Jimmy and","Once an day, Jimmy and his little brother came to the zoo. They liked to look at the big zoo animals and try many new things. 

Jimmy saw a big blue bird hopping around and said, 
""That's a little bird and I fancy him.""","Once an day, Jimmy and his mommy went to the park. Jimmy was so excited to go play with his friends. As they were playing, Jimmy's mommy said, ""Jimmy, let's go around the park!""
Jimmy was so happy and said, ""Yes"
Once there was a girl,"Once there was a girl named Sarah. She was feeling very tired and wanted her mattress ready. She asked her mom, ""Can I lay down on my bed now please?""

Mom replied, ""Of course you can! But do not sit still in bed. That","Once there was a girl named Lucy. She was only three years old and loved to explore. One day, she decided to go for a walk and she found a big, scary old tree. 

Lucy was so scared that she started to cry. She looked"
"One sunny day, Jimmy found","One sunny day, Jimmy found a nice envelope filled with stickers. ""Look! This envelope smells so great! Can I mail it to someone?"" said Jimmy.

Jimmy quickly printed a note and filled it with stickers. Then, he ran and put the envelope in a special","One sunny day, Jimmy found a big, round rock. He was so excited! He picked it up and held it close to his chest.

Jimmy was curious and he wanted to know what it was. He looked around and saw that it was a special rock.
"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to play outside and explore. One day, she saw a big tree with many leaves. She wanted to climb it, but it was too tall. She thought, ""I can climb the tree, but","Once upon a time there was a little boy named Tim. Tim liked to play football against his friends. One day, his friend Sammy got really angry. He said, ""Stop it, Sammy!""

Tim started to say, ""Well, Sammy, that's not"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play in the park with her friends. One day, they saw a big truck coming towards them. Lily was scared and asked her friends what was wrong.

""Let's go back to the","Once upon a time, there was a little girl named Lily. One day, she was playing in her room when she heard a noise coming from her room. She turned to find her mom holding the phone to her ear. 

""What's going on?"" asked Lily"
Once upon a time there,"Once upon a time there was a famous girl named Mia. Mia loved to wear big sunglasses every day so she could look like she was flying! One day her face caught on fire and she went to see her family doctor.

The doctor said Mia had lost her sight","Once upon a time there was a little girl named Lily. She loved to play with her toys and play outside in the sunshine. One day, Lily went to the park with her mommy and daddy. She saw a boy playing with a ball and asked him if he wanted"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and run around outside. One day, Lily's mommy told her they were going to the park. Lily was so excited to go, but her mommy said it was too","Once upon a time, there was a brave frog named Fluffy. Fluffy loved to jump around and laugh. One day, Fluffy was hopping all around when he saw a hole in the ground. It was a mine! Fluffy wanted to explore it, so he hopped"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to play with her toys and run around the house. One day, she went to the park with her mommy and daddy. As they were playing, they saw a big, scary dog. Lily's","Once upon a time there was a little girl named Mia. She was three years old and loved to explore. One day, Mia saw a beautiful flower and was so thrilled that she wanted to pick it. 

Suddenly, she heard a loud noise that seemed to have"
It was a hot summer,"It was a hot summer day. The sun was shining brightly and the birds were singing. The little boy was playing in the park with his friends. 

Suddenly, he heard a loud noise. He looked around and saw a big dog running towards him. The dog","It was a hot summer day. Mommy drove to a small lake with a pond. Everything was shiny and fun about it, but Mommy was not sure the pond would last another day.

The lake looked very special. It had a small round pond where the"
Mommy and Daddy were eating,"Mommy and Daddy were eating dinner. She was eating chicken and green beans until dinner was ready. Daddy said, ""Mommy, I'm going to buy you something special today. I made lemon cheese.""

Mommy took a bite and tasted it. She loved it","Mommy and Daddy were eating dinner. Mommy said, ""Let's make a cake!"" Daddy said, ""Yes, let's make a cake!""

They took out a big bowl and started to mix the flour. Mommy said, ""Let's add some eggs"
Once upon a time there,"Once upon a time there was a little girl. She had a book called the History of Love. Every day she would find something new and exciting in the book, so one day she decided to share it with everyone she could.

On her travels, she saw many","Once upon a time there was a little girl called Anna. She was only three years old and was very curious.

One day Anna was walking in the park when she saw a big, shiny object. She looked closer and noticed that it was a big red ball."
"Once upon a time, there","Once upon a time, there was a little girl named Lily. One day, she went to the park with her mommy and daddy. They saw a big slide that Lily had never seen before. She wanted to try it, but her mommy said no.

L","Once upon a time, there was a little girl named Lily. She loved to wear makeup on stage. One day, she met a theater regular named Mike. Mike had a big nose and a small mouth.

""Hi, Lily,"" Mike said. ""Do you want"
"""What are you doing grandma?""","""What are you doing grandma?"" your grandmother asked from behind a big house.

""I'm collecting apples and grapes,"" your grandmother said proudly.

You looked at the fruits and felt very sad. ""Why don't you take me up to the tree and pick them","""What are you doing grandma?"" asked Sam.

""I'm playing with my dolls,"" replied grandma. ""They are so pretty.""

Sam and his dolls had so much fun playing together. They made a big castle, a big river and a big sandbox. They"
Ben and his dad walked,Ben and his dad walked in the park. They saw a big green boat sitting on a dock. Ben was excited. He wanted to play in the water. He ran to his dad's shoulder and ran to get a hold of the boat. His dad was careful not to,"Ben and his dad walked into the kitchen. They saw the couch and the box of cookies. Ben was so excited. He wanted to eat them all.

""Mom, can I have some?"" Ben asked.

""Sure, but be careful,"" said his"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and eat cookies. One day, Lily's mommy made her a delicious cake with honey and butter. Lily was so happy and ate it all up.

Later that day","Once upon a time, there was a little bird named Tweety. Tweety was flying high in the sky. One day, Tweety found a big puddle of water. Tweety wanted to paddle the puddle.

Tweety started to pull on the puddle"
Mummy and John were in,"Mummy and John were in the garden taking a bath. John looked out of the windows over his garden, admiring the beautiful world. When he reached the top of the house - he was amazed. In the corner, looking out the windows from the top, there was a","Mummy and John were in the garden. John was playing with a ball and Mummy was looking after him.

""Why do you want to play with me, Mummy?"" asked John.

""Because you're so smart,"" said Mummy.

"
Jack and Jill were walking,"Jack and Jill were walking in the park. They wanted to see the big tree next to them. Jack thought it was a nice sight. But then he saw something funny, a big leaf stuck in the ground. It was funny to look at because he was scared of the","Jack and Jill were walking in the park. They saw a big tree with many branches. Jack wanted to climb the tree, but Jill said no. Jack was scared and didn't know what to do.

Jack said, ""Jill, I don't want to"
"Once upon a time, Mummy,","Once upon a time, Mummy, Daddy and I were playing in the garden. I was doing something which was pretty exciting. Mummy told Daddy I had a bit of an urge to make a pie.

Daddy frowned - what?

I said, ""I'm gonna","Once upon a time, Mummy, Daddy and Grandma were in the kitchen. Grandma was stirring the soup.

""Mummy, can we have some soup?"" asked Grandma.

Mummy smiled and said, ""Of course, Grandma. We can have"
Henry loved to learn about,"Henry loved to learn about new things and explore. Today, his parents invited him to a special dinner. Anna was a happy surprise, sitting across from him, looking at all the yummy food he had seen in the kitchen.

When Anna was done eating, he","Henry loved to learn about the world around him. One day, he saw a big tree and wanted to climb it. He climbed the tree and saw a lot of other trees. He wanted to climb one of them too.

He climbed the tree and saw a big"
Once there was an old,"Once there was an old fish who lived in a small reef. He loved to catch fish in the reef - it was his favorite place. 
It was very dry inside the reef so he often had to go up and get water from the nearby stream, or he would","Once there was an old man who lived in a small house. Every day he would go out and play. One day, he was walking through the park when he saw a little girl. She was crying and she was so sad. The old man smiled and said, """
The sun showed its face,"The sun showed its face inside the park. The animals were playing and running. A big ball was bouncing on a grass green floor. The animal was bouncing between the two balls so he was always happy. 

The sun stopped for a little while and lit up the","The sun showed its face and the birds sang. It was a beautiful day. A little girl named Lily was playing in the garden. She saw a big blue bird and wanted to take it home. She ran to the bird and said, ""Hello, bird! I'm"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play outside in the park. One day, she saw a man who was walking around with a bag. He looked sad and lonely. Lily wanted to help him, so she asked him if she could","Once upon a time, there was a little girl named Lily. She lived with her parents in the park. One day, Lily went for a run with her mom and dad. She loved running and ran everywhere with them.

At the end of the run, Lily saw"
Little Jack was so proud,Little Jack was so proud of what he had. He had been lucky in being able to use a regular toilet as his work station. Jack was having a fantastic dinner with his friends. But then they heard a strange noise coming from the corner of the room! They couldn't,"Little Jack was so proud of himself. He had a special toy. It was a big red ball. Jack had it with him everywhere he went. He loved it so much.

One day, Jack wanted to play with his ball. He ran to the park and"
Once upon a time there,"Once upon a time there was a little car named Ben. He loved to race and make funny noises all day long.

One day he heard a very cool sound coming from the back of his car. He waved to the sound, but when he saw the sound he","Once upon a time there was a little boy called Jack. He was three years old and loved to play outside. One day Jack was walking in the park and he saw a big tree with a big tree trunk. Jack wanted to climb the tree, so he started to climb"
Once upon a time there,"Once upon a time there was a little girl called Daisy. One sunny afternoon, Daisy went outside to play with her toys. This was especially charming because she was wearing her favourite uniform of yellow! Daisy was so excited to be out playing. She jumped into the park as fast","Once upon a time there was a little girl named Mia. She was three years old and loved to play with her toys. One day, Mia went to the park with her mom. As they were walking, Mia saw a little bird who was sad. She asked her mom"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to play outside with her friends. One day, Lily and her friends decided to go for a walk. As they were walking, they saw a big tree and decided to climb it.

As they","Once upon a time there was a little frog sitting on a pond. The frog was looking around and saw something. It was a big boat. It was shiny and made of brown plastic.

The frog stopped to look at all the things in the boat. Everything else"
Once upon a time there,"Once upon a time there was a little girl named Lily. She loved to play outside and explore. One day, she went to the park with her mommy. As they walked around, they saw a big tree. Lily wanted to climb it, so she climbed up the","Once upon a time there was a little boy. His name was Max.

Max was so happy he ran in a straight line around him. Everywhere he went he could play.

Every time he opened his eyes he was filled with love for each and every new"
Once upon a time there,"Once upon a time there was a little boy named Tim. Tim loved to go to the park every week. One day Tim saw a funny ball stuck in a tree. He watched as it rolled down the tall trunk and landed on a seat.

Tim took comfort in","Once upon a time there was a little girl named Lily. She was three years old and she loved to play outside. One day, she found a beautiful stone. It was very pretty and sparkly.

Lily wanted to touch the stone, so she ran to"
One day there was a,"One day there was a little girl called Sue. She looked all around her and saw nothing but a dead tree. Sue ran closer, but it was difficult to get to the end of the path. She kept running until she could't. She ran until the roots dug the","One day there was a little girl named Lily. She was three years old and loved to play in the garden. One day, she saw a big, beautiful flower and wanted to pick it. She ran around and looked around until she found the flower. She picked it and"
Minnie was a three year,"Minnie was a three year old girl who loved to ride her bike. She loved to zoom around the city and see all the sights. 

One day, she saw a big green screen in the middle of the square. She was so excited that she ran to it","Minnie was a three year old girl. She was very curious and loved to explore. One day she decided to go on an adventure.

Minnie was excited to go on an adventure. She grabbed her backpack and started to walk. She walked and walked until she came"
Once upon a time there,Once upon a time there was a girl who was very stubborn and always refused to move. At first she had no other friends and could barely stand up. All the others would laugh at her however the stubborn girl did not let things go. She would try and move and try,"Once upon a time there was a little girl who loved to play with her toys. One day she was playing with her toy car when she accidentally broke it. She was so sad and didn't know what to do.

Then her mommy came in and said,"
"Once upon a time, there","Once upon a time, there was a little boy named Tim. Tim liked to play hide and seek with his friends. One day, Tim's friends were playing a game of hide and seek. They wanted to find out which of their friends was the fastest.

Tim asked","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she found a beautiful diamond on the ground. She picked it up and showed it to her mom.

""Look, Mommy! A beautiful diamond"
Once upon a time there,"Once upon a time there was a little boy called Tim. One morning Tim woke up feeling like he had a nightmare. 'You're in trouble!' he said, and he quickly ran out of the house. His house was quiet and gray with no footsteps, but in the","Once upon a time there was a little girl named Lily. She loved to play with her toys and explore the world around her. One day, she found a big, red ball in her toy box. She picked it up and started to play with it.

Suddenly"
Once upon a time there,"Once upon a time there was a little boy named Tom. Tom was three years old and loved playing with his toys all day. One day, Tom's mommy told him for the first time that cooking wasn't as important as spending time with his family.

At","Once upon a time there was a little girl called Lucy who was 3 years old. She wanted to go outside and play, but her mum said it was too dangerous. 

So Lucy decided to stay inside and wait for her mum to come outside. 

"
"Once upon a time, there","Once upon a time, there was an old man called Bob. Bob loved to do what people did. He would play, laugh, and do things very hard. Bob was strong; one day he had an idea to help his wife!

Bob took his old car and","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red car outside her window. She asked her mommy, ""Can I see the car?"" Her mommy said, ""Yes"
"Once upon a time, there","Once upon a time, there was a little girl named Lily. She loved to play with her toys and her favorite was the car. One day, Lily's mommy gave her a new toy car and it was so cool! Lily decided to make it her own.

","Once upon a time, there were two friends, John and Mary. They loved to help each other.

One day, they decided to go out to search the forest for something special to do. 

John went to a big tree and said, ""Let's"
John was a little boy.,"John was a little boy. He would go into the forest every day to play in the small woods. One day, he saw something in the bushes. It was a big, round, and hairy animal. 
The animal said to John, ""What are you doing,","John was a little boy. He was three years old and he loved to explore. One day, he stumbled upon a big, black cat. He was so excited! He ran to the cat and tried to catch it, but it was too fast. 

John tried"
Once upon a time there,"Once upon a time there was a little girl named Molly. Molly's family was very happy, but they were starting to notice problems.

One day, Molly's mother said to her, â€œMolly it is time for your turn. Why don","Once upon a time there was a little girl called Rose. She was three years old and loved to play outside. One day, Rose went outside with her mommy and daddy.

Rose was very excited to play. She ran and jumped and ran around. She was"
